sample_id,sample_date,sample_time,station_code,common_name,count,fork_length,weight,life_stage,brood_year,run,river
115_22,2022-04-25,06:53:18,lcc,chinook salmon,1,NA,NA,not recorded,2021,NA,clear creek
044_22,2022-02-13,01:27:56,lcc,chinook salmon,268,NA,NA,fry,2021,fall,clear creek
001_22,2022-01-01,01:37:02,ubc,chinook salmon,1,33,NA,fry,2021,fall,battle creek
005_22,2022-01-05,00:32:16,ubc,chinook salmon,1,34,NA,fry,2021,fall,battle creek
150_22,2022-05-30,00:00:00,lcc,chinook salmon,0,NA,NA,not recorded,2021,NA,clear creek
143_22,2022-05-22,00:00:00,lcc,chinook salmon,1,NA,NA,not recorded,2022,NA,clear creek
006_22,2022-01-06,07:10:30,ubc,chinook salmon,1,34,NA,fry,2021,fall,battle creek
009_22,2022-01-09,04:29:13,ubc,chinook salmon,1,33,NA,fry,2021,fall,battle creek
009_22,2022-01-09,04:29:13,ubc,chinook salmon,1,34,NA,fry,2021,fall,battle creek
011_22,2022-01-11,06:38:27,ubc,chinook salmon,1,34,NA,fry,2021,fall,battle creek
012_22,2022-01-12,00:07:30,ubc,chinook salmon,1,33,NA,fry,2021,fall,battle creek
044_22,2022-02-13,01:27:56,lcc,chinook salmon,2,NA,NA,fry,2021,fall,clear creek
044_22,2022-02-13,01:27:56,lcc,chinook salmon,779,NA,NA,fry,2021,fall,clear creek
043_22,2022-02-12,02:05:40,lcc,chinook salmon,807,NA,NA,fry,2021,fall,clear creek
043_22,2022-02-12,02:05:40,lcc,chinook salmon,76,NA,NA,fry,2021,fall,clear creek
043_22,2022-02-12,02:05:40,lcc,chinook salmon,104,NA,NA,fry,2021,fall,clear creek
043_22,2022-02-12,02:05:40,lcc,chinook salmon,356,NA,NA,fry,2021,fall,clear creek
042_22,2022-02-11,02:21:29,lcc,chinook salmon,1,NA,NA,fry,2021,fall,clear creek
042_22,2022-02-11,02:21:29,lcc,chinook salmon,418,NA,NA,fry,2021,fall,clear creek
042_22,2022-02-11,02:21:29,lcc,chinook salmon,193,NA,NA,fry,2021,fall,clear creek
042_22,2022-02-11,02:21:29,lcc,chinook salmon,503,NA,NA,fry,2021,fall,clear creek
042_22,2022-02-11,02:21:29,lcc,chinook salmon,574,NA,NA,fry,2021,fall,clear creek
041_22,2022-02-10,00:48:52,lcc,chinook salmon,437,NA,NA,fry,2021,fall,clear creek
041_22,2022-02-10,00:48:52,lcc,chinook salmon,164,NA,NA,fry,2021,fall,clear creek
041_22,2022-02-10,00:48:52,lcc,chinook salmon,2,NA,NA,fry,2021,fall,clear creek
041_22,2022-02-10,00:48:52,lcc,chinook salmon,235,NA,NA,fry,2021,fall,clear creek
041_22,2022-02-10,00:48:52,lcc,chinook salmon,2,NA,NA,fry,2021,fall,clear creek
041_22,2022-02-10,00:48:52,lcc,chinook salmon,302,NA,NA,fry,2021,fall,clear creek
041_22,2022-02-10,00:48:52,lcc,chinook salmon,2,NA,NA,fry,2021,fall,clear creek
041_22,2022-02-10,00:48:52,lcc,chinook salmon,592,NA,NA,fry,2021,fall,clear creek
040_22,2022-02-09,02:23:25,lcc,chinook salmon,6,NA,NA,fry,2021,fall,clear creek
040_22,2022-02-09,02:23:25,lcc,chinook salmon,151,NA,NA,fry,2021,fall,clear creek
040_22,2022-02-09,02:23:25,lcc,chinook salmon,242,NA,NA,fry,2021,fall,clear creek
040_22,2022-02-09,02:23:25,lcc,chinook salmon,407,NA,NA,fry,2021,fall,clear creek
040_22,2022-02-09,02:23:25,lcc,chinook salmon,806,NA,NA,fry,2021,fall,clear creek
040_22,2022-02-09,02:23:25,lcc,chinook salmon,1,NA,NA,fry,2021,fall,clear creek
039_22,2022-02-08,02:30:00,lcc,chinook salmon,113,NA,NA,fry,2021,fall,clear creek
039_22,2022-02-08,02:30:00,lcc,chinook salmon,173,NA,NA,fry,2021,fall,clear creek
039_22,2022-02-08,02:30:00,lcc,chinook salmon,437,NA,NA,fry,2021,fall,clear creek
039_22,2022-02-08,02:30:00,lcc,chinook salmon,924,NA,NA,fry,2021,fall,clear creek
038_22,2022-02-07,03:23:00,lcc,chinook salmon,11,NA,NA,fry,2021,fall,clear creek
038_22,2022-02-07,03:23:00,lcc,chinook salmon,5,NA,NA,fry,2021,fall,clear creek
038_22,2022-02-07,03:23:00,lcc,chinook salmon,3117,NA,NA,fry,2021,fall,clear creek
038_22,2022-02-07,03:23:00,lcc,chinook salmon,492,NA,NA,fry,2021,fall,clear creek
038_22,2022-02-07,03:23:00,lcc,chinook salmon,88,NA,NA,fry,2021,fall,clear creek
037_22,2022-02-06,02:27:59,lcc,chinook salmon,2988,NA,NA,fry,2021,fall,clear creek
037_22,2022-02-06,02:27:59,lcc,chinook salmon,7,NA,NA,fry,2021,fall,clear creek
037_22,2022-02-06,02:27:59,lcc,chinook salmon,135,NA,NA,fry,2021,fall,clear creek
037_22,2022-02-06,02:27:59,lcc,chinook salmon,302,NA,NA,fry,2021,fall,clear creek
037_22,2022-02-06,02:27:59,lcc,chinook salmon,456,NA,NA,fry,2021,fall,clear creek
037_22,2022-02-06,02:27:59,lcc,chinook salmon,1143,NA,NA,fry,2021,fall,clear creek
036_22,2022-02-05,02:26:11,lcc,chinook salmon,3,NA,NA,fry,2021,fall,clear creek
036_22,2022-02-05,02:26:11,lcc,chinook salmon,174,NA,NA,fry,2021,fall,clear creek
036_22,2022-02-05,02:26:11,lcc,chinook salmon,414,NA,NA,fry,2021,fall,clear creek
036_22,2022-02-05,02:26:11,lcc,chinook salmon,3,NA,NA,fry,2021,fall,clear creek
036_22,2022-02-05,02:26:11,lcc,chinook salmon,591,NA,NA,fry,2021,fall,clear creek
036_22,2022-02-05,02:26:11,lcc,chinook salmon,1,NA,NA,fry,2021,fall,clear creek
036_22,2022-02-05,02:26:11,lcc,chinook salmon,1063,NA,NA,fry,2021,fall,clear creek
036_22,2022-02-05,02:26:11,lcc,chinook salmon,0,NA,NA,not recorded,2021,NA,clear creek
035_22,2022-02-04,02:33:15,lcc,chinook salmon,1,NA,NA,fry,2021,fall,clear creek
035_22,2022-02-04,02:33:15,lcc,chinook salmon,1810,NA,NA,fry,2021,fall,clear creek
035_22,2022-02-04,02:33:15,lcc,chinook salmon,22,NA,NA,fry,2021,fall,clear creek
035_22,2022-02-04,02:33:15,lcc,chinook salmon,1006,NA,NA,fry,2021,fall,clear creek
035_22,2022-02-04,02:33:15,lcc,chinook salmon,205,NA,NA,fry,2021,fall,clear creek
035_22,2022-02-04,02:33:15,lcc,chinook salmon,230,NA,NA,fry,2021,fall,clear creek
035_22,2022-02-04,02:33:15,lcc,chinook salmon,548,NA,NA,fry,2021,fall,clear creek
034_22,2022-02-03,03:23:46,lcc,chinook salmon,3,NA,NA,fry,2021,fall,clear creek
034_22,2022-02-03,03:23:46,lcc,chinook salmon,2579,NA,NA,fry,2021,fall,clear creek
034_22,2022-02-03,03:23:46,lcc,chinook salmon,313,NA,NA,fry,2021,fall,clear creek
034_22,2022-02-03,03:23:46,lcc,chinook salmon,568,NA,NA,fry,2021,fall,clear creek
031_22,2022-01-31,03:53:00,lcc,chinook salmon,3,NA,NA,fry,2021,fall,clear creek
031_22,2022-01-31,03:53:00,lcc,chinook salmon,29,NA,NA,fry,2021,fall,clear creek
031_22,2022-01-31,03:53:00,lcc,chinook salmon,1555,NA,NA,fry,2021,fall,clear creek
031_22,2022-01-31,03:53:00,lcc,chinook salmon,143,NA,NA,fry,2021,fall,clear creek
031_22,2022-01-31,03:53:00,lcc,chinook salmon,259,NA,NA,fry,2021,fall,clear creek
033_22,2022-02-02,03:35:11,lcc,chinook salmon,298,NA,NA,fry,2021,fall,clear creek
033_22,2022-02-02,03:35:11,lcc,chinook salmon,508,NA,NA,fry,2021,fall,clear creek
033_22,2022-02-02,03:35:11,lcc,chinook salmon,3685,NA,NA,fry,2021,fall,clear creek
032_22,2022-02-01,02:37:00,lcc,chinook salmon,3,NA,NA,fry,2021,fall,clear creek
032_22,2022-02-01,02:37:00,lcc,chinook salmon,235,NA,NA,fry,2021,fall,clear creek
032_22,2022-02-01,02:37:00,lcc,chinook salmon,327,NA,NA,fry,2021,fall,clear creek
032_22,2022-02-01,02:37:00,lcc,chinook salmon,365,NA,NA,fry,2021,fall,clear creek
032_22,2022-02-01,02:37:00,lcc,chinook salmon,1034,NA,NA,fry,2021,fall,clear creek
032_22,2022-02-01,02:37:00,lcc,chinook salmon,1854,NA,NA,fry,2021,fall,clear creek
033_22,2022-02-02,03:35:11,lcc,chinook salmon,98,NA,NA,fry,2021,fall,clear creek
031_22,2022-01-31,03:53:00,lcc,chinook salmon,504,NA,NA,fry,2021,fall,clear creek
030_22,2022-01-30,01:32:52,lcc,chinook salmon,2516,NA,NA,fry,2021,fall,clear creek
030_22,2022-01-30,01:32:52,lcc,chinook salmon,188,NA,NA,fry,2021,fall,clear creek
030_22,2022-01-30,01:32:52,lcc,chinook salmon,448,NA,NA,fry,2021,fall,clear creek
