site,date_released,time_released,number_released,median_fork_length_released,release_id,days_held_post_mark,day_or_night_release,release_temp,release_flow,release_turbidity,origin_released
Upper Battle Creek,2004-01-14,15:46:00,147,35,BAT96,1,night,46.5,445,NA,natural
Upper Battle Creek,2004-01-27,23:23:00,428,38,BAT97,1,night,45.1,750,NA,natural
Upper Battle Creek,2004-01-30,17:02:00,387,36,BAT98,1,night,48.7,490,NA,natural
Upper Battle Creek,2004-02-06,17:00:00,390,37,BAT99,1,night,47.1,495,NA,natural
Upper Battle Creek,2004-02-10,19:12:00,399,37,BAT100,1,night,47.6,432,NA,natural
Upper Battle Creek,2004-02-13,18:05:00,400,37,BAT101,1,night,47.4,407,NA,natural
Upper Battle Creek,2004-02-24,14:28:00,282,37,BAT102,1,day,49.3,892,NA,natural
Upper Battle Creek,2004-03-05,18:49:00,300,37,BAT103,1,night,49.9,690,NA,natural
Upper Battle Creek,2004-03-09,17:13:00,425,37,BAT104,1,night,56,657,NA,natural
Upper Battle Creek,2004-03-12,17:40:00,450,36,BAT105,1,night,54.9,668,NA,natural
Upper Battle Creek,2004-03-26,18:05:00,269,37,BAT106,1,night,49.3,722,NA,natural
Upper Battle Creek,2004-04-02,18:10:00,272,65,BAT107,1,night,54,578,NA,natural
Upper Battle Creek,2004-04-09,15:35:00,157,70,BAT108,1,day,57.7,593,NA,natural
Upper Battle Creek,2004-04-16,14:06:00,597,56,BAT109,1,day,51.8,542,NA,natural
Upper Battle Creek,2005-01-04,21:00:00,105,36,BAT110,1,night,45.4,391,NA,natural
Upper Battle Creek,2005-01-11,13:30:00,91,37,BAT111,1,day,46.5,601,NA,natural
Upper Battle Creek,2005-01-14,14:27:00,130,37,BAT112,1,day,45.4,345,NA,natural
Upper Battle Creek,2005-01-21,19:50:00,380,36,BAT113,1,night,49.3,310,NA,natural
Upper Battle Creek,2005-01-25,19:29:00,388,37,BAT114,1,night,51.3,321,NA,natural
Upper Battle Creek,2005-01-28,18:35:00,403,38,BAT115,0,night,49.6,605,NA,natural
Upper Battle Creek,2005-02-01,19:05:00,413,37,BAT116,1,night,48.5,363,NA,natural
Upper Battle Creek,2005-02-04,19:38:00,448,37,BAT117,1,night,49.6,340,NA,natural
Upper Battle Creek,2005-02-08,17:39:00,399,37,BAT118,1,night,49.3,321,NA,natural
Upper Battle Creek,2005-02-11,19:58:00,415,37,BAT119,1,night,49.3,307,NA,natural
Upper Battle Creek,2005-02-15,19:38:00,440,36,BAT120,1,night,49.6,370,NA,natural
Upper Battle Creek,2005-02-18,19:50:00,408,37,BAT121,1,night,50.7,363,NA,natural
Upper Battle Creek,2005-02-22,19:21:00,431,37,BAT122,1,night,52.9,402,NA,natural
Upper Battle Creek,2005-02-25,19:40:00,408,36,BAT123,1,night,53.2,367,NA,natural
Upper Battle Creek,2005-03-01,17:52:00,403,37,BAT124,1,night,52.9,414,NA,natural
Upper Battle Creek,2005-03-04,18:46:00,273,36,BAT125,1,night,53.8,430,NA,natural
Upper Battle Creek,2005-03-08,20:05:00,525,35,BAT126,1,night,55.7,374,NA,natural
Upper Battle Creek,2005-03-11,19:50:00,387,35,BAT127,1,night,56.8,382,NA,natural
Upper Battle Creek,2005-03-15,18:37:00,318,34,BAT128,1,night,53.8,355,NA,natural
Upper Battle Creek,2005-03-22,18:22:00,114,41,BAT129,1,night,53.2,592,NA,natural
Upper Battle Creek,2005-03-25,20:31:00,111,37,BAT130,1,night,51.8,390,NA,natural
Upper Battle Creek,2005-04-01,18:10:00,237,45,BAT131,1,night,53.8,398,NA,natural
Upper Battle Creek,2005-04-05,18:57:00,152,37,BAT132,1,night,55.4,394,NA,natural
Upper Battle Creek,2005-04-08,18:45:00,198,39,BAT133,1,night,51.8,588,NA,natural
Upper Battle Creek,2005-04-12,19:24:00,171,42,BAT134,1,night,54.9,438,NA,natural
Upper Battle Creek,2005-04-15,19:11:00,383,36,BAT135,1,night,55.7,402,NA,natural
Upper Battle Creek,2005-04-19,19:56:00,89,39,BAT136,1,night,55.4,414,NA,natural
Upper Battle Creek,2005-04-29,17:27:00,100,35,BAT137,1,day,58.8,458,NA,natural
Upper Battle Creek,2005-05-06,15:46:00,113,36,BAT138,1,day,55.4,623,NA,natural
Upper Battle Creek,2005-03-15,16:54:00,65,41,BAT139,1,day,56.6,668,NA,natural
Upper Battle Creek,2006-01-31,16:00:00,197,36,BAT140,1,day,45.4,944,NA,natural
Upper Battle Creek,2006-02-07,18:30:00,209,37,BAT141,0,night,49,905,NA,natural
Upper Battle Creek,2006-02-10,17:25:00,298,NA,BAT142,1,night,49.9,767,NA,natural
Upper Battle Creek,2006-02-17,14:15:00,410,37,BAT143,1,day,45.1,627,NA,natural
Upper Battle Creek,2006-02-24,18:15:00,425,37,BAT144,1,night,49.6,561,NA,natural
Upper Battle Creek,2006-03-21,18:21:00,464,36,BAT145,1,night,49,772,NA,natural
Upper Battle Creek,2007-12-29,17:40:00,249,38,BAT146,1,night,43.8,371,NA,NA
Upper Battle Creek,2008-01-01,19:35:00,254,38,BAT147,1,night,44.9,248,NA,NA
Upper Battle Creek,2008-01-09,02:05:00,503,38,BAT148,1,night,44.9,599,NA,NA
Upper Battle Creek,2008-01-09,02:05:00,481,36,BAT149,1,night,44.9,599,NA,natural
Upper Battle Creek,2008-01-12,19:37:00,291,38,BAT150,1,night,48.8,468,NA,NA
Upper Battle Creek,2008-01-12,19:37:00,303,37,BAT151,1,night,48.8,468,NA,natural
Upper Battle Creek,2008-01-15,20:19:00,301,38,BAT152,1,night,45.7,320,NA,NA
Upper Battle Creek,2008-01-15,20:19:00,305,37,BAT153,1,night,45.7,320,NA,natural
Upper Battle Creek,2008-01-19,20:36:00,304,38,BAT154,1,night,46.6,298,NA,NA
Upper Battle Creek,2008-01-19,20:36:00,335,38,BAT155,1,night,46.6,298,NA,natural
Upper Battle Creek,2008-01-23,19:15:00,299,39,BAT156,1,night,44.9,343,NA,NA
Upper Battle Creek,2008-01-23,19:15:00,286,37,BAT157,1,night,44.9,343,NA,natural
Upper Battle Creek,2008-01-27,21:30:00,182,40,BAT158,2,night,48.2,678,NA,NA
Upper Battle Creek,2008-01-27,21:30:00,266,38,BAT159,2,night,48.2,678,NA,natural
Upper Battle Creek,2008-01-29,19:40:00,299,41,BAT160,0,night,44.1,556,NA,NA
Upper Battle Creek,2008-01-29,19:40:00,303,37,BAT161,0,night,44.1,556,NA,natural
