site,release_site,release_id,date_recaptured,number_recaptured,median_fork_length_recaptured
Clear Creek,VB,CLR171,2003-12-04,3,34
Clear Creek,VB,CLR171,2003-12-05,0,NA
Clear Creek,VB,CLR171,2003-12-06,0,NA
Clear Creek,VB,CLR171,2003-12-07,0,NA
Clear Creek,VB,CLR171,2003-12-08,0,NA
Clear Creek,CCRB,CLR172,2003-12-04,6,33.5
Clear Creek,CCRB,CLR172,2003-12-05,0,NA
Clear Creek,CCRB,CLR172,2003-12-06,0,NA
Clear Creek,CCRB,CLR172,2003-12-07,0,NA
Clear Creek,CCRB,CLR172,2003-12-08,0,NA
Clear Creek,VB,CLR173,2003-12-14,5,35
Clear Creek,VB,CLR173,2003-12-15,0,NA
Clear Creek,VB,CLR173,2003-12-16,0,NA
Clear Creek,VB,CLR173,2003-12-17,0,NA
Clear Creek,VB,CLR173,2003-12-18,0,NA
Clear Creek,CCRB,CLR174,2003-12-14,6,35
Clear Creek,CCRB,CLR174,2003-12-15,1,35
Clear Creek,CCRB,CLR174,2003-12-16,0,NA
Clear Creek,CCRB,CLR174,2003-12-17,0,NA
Clear Creek,CCRB,CLR174,2003-12-18,0,NA
Clear Creek,VB,CLR175,2003-12-18,5,35
Clear Creek,VB,CLR175,2003-12-19,2,35
Clear Creek,VB,CLR175,2003-12-20,0,NA
Clear Creek,VB,CLR175,2003-12-21,0,NA
Clear Creek,VB,CLR175,2003-12-22,0,NA
Clear Creek,CCRB,CLR176,2003-12-18,1,33
Clear Creek,CCRB,CLR176,2003-12-19,0,NA
Clear Creek,CCRB,CLR176,2003-12-20,0,NA
Clear Creek,CCRB,CLR176,2003-12-21,0,NA
Clear Creek,CCRB,CLR176,2003-12-22,0,NA
Clear Creek,VB,CLR177,2003-12-20,7,35
Clear Creek,VB,CLR177,2003-12-21,0,NA
Clear Creek,VB,CLR177,2003-12-22,0,NA
Clear Creek,VB,CLR177,2003-12-23,0,NA
Clear Creek,VB,CLR177,2003-12-24,0,NA
Clear Creek,CCRB,CLR178,2003-12-20,30,35
Clear Creek,CCRB,CLR178,2003-12-21,1,35
Clear Creek,CCRB,CLR178,2003-12-22,0,NA
Clear Creek,CCRB,CLR178,2003-12-23,0,NA
Clear Creek,CCRB,CLR178,2003-12-24,0,NA
Clear Creek,CCRB,CLR179,2004-01-14,9,36
Clear Creek,CCRB,CLR179,2004-01-15,1,36
Clear Creek,CCRB,CLR179,2004-01-16,1,36
Clear Creek,CCRB,CLR179,2004-01-17,0,NA
Clear Creek,CCRB,CLR179,2004-01-18,0,NA
Clear Creek,VB,CLR180,2004-01-14,10,36
Clear Creek,VB,CLR180,2004-01-15,2,36
Clear Creek,VB,CLR180,2004-01-16,1,36
Clear Creek,VB,CLR180,2004-01-17,0,NA
Clear Creek,VB,CLR180,2004-01-18,0,NA
Clear Creek,VB,CLR181,2004-01-31,22,38
Clear Creek,VB,CLR181,2004-02-01,0,NA
Clear Creek,VB,CLR181,2004-02-02,1,38
Clear Creek,VB,CLR181,2004-02-03,2,38
Clear Creek,VB,CLR181,2004-02-04,0,NA
Clear Creek,CCRB,CLR182,2004-01-31,47,37.5
Clear Creek,CCRB,CLR182,2004-02-01,1,37.5
Clear Creek,CCRB,CLR182,2004-02-02,1,37.5
Clear Creek,CCRB,CLR182,2004-02-03,1,37.5
Clear Creek,CCRB,CLR182,2004-02-04,0,NA
