OrganismCode,StationCode,SampleDate,BroodYear,SampleID,IDWeek,SubWeek,FWSRace,RCatch,NumReleased,BaileysEff,Dead,ForkLength,IDYear
CHN,UBC,1/1/2022,2021,001_22,1,A,S,1,329,0.0424,N,34,2022
CHN,UBC,1/1/2022,2021,001_22,1,A,S,1,329,0.0424,N,36,2022
CHN,UBC,1/1/2022,2021,001_22,1,A,S,1,329,0.0424,N,36,2022
CHN,UBC,1/1/2022,2021,001_22,1,A,S,1,329,0.0424,N,36,2022
CHN,UBC,1/1/2022,2021,001_22,1,A,S,1,329,0.0424,N,34,2022
CHN,UBC,1/1/2022,2021,001_22,1,A,S,1,329,0.0424,N,34,2022
CHN,UBC,1/1/2022,2021,001_22,1,A,S,1,329,0.0424,N,34,2022
CHN,UBC,1/1/2022,2021,001_22,1,A,S,1,329,0.0424,N,34,2022
CHN,UBC,1/1/2022,2021,001_22,1,A,S,1,329,0.0424,N,34,2022
CHN,UBC,1/1/2022,2021,001_22,1,A,S,1,329,0.0424,N,34,2022
CHN,UBC,1/1/2022,2021,001_22,1,A,S,1,329,0.0424,N,33,2022
CHN,UBC,1/1/2022,2021,001_22,1,A,S,1,329,0.0424,N,34,2022
CHN,UBC,1/1/2022,2021,001_22,1,A,S,1,329,0.0424,N,36,2022
CHN,UBC,1/1/2022,2021,001_22,1,A,S,1,329,0.0424,N,34,2022
CHN,UBC,1/1/2022,2021,001_22,1,A,S,1,329,0.0424,N,34,2022
CHN,UBC,1/1/2022,2021,001_22,1,A,S,1,329,0.0424,N,34,2022
CHN,UBC,1/1/2022,2021,001_22,1,A,S,1,329,0.0424,N,34,2022
CHN,UBC,1/1/2022,2021,001_22,1,A,S,1,329,0.0424,N,34,2022
CHN,UBC,1/1/2022,2021,001_22,1,A,S,1,329,0.0424,N,34,2022
CHN,UBC,1/1/2022,2021,001_22,1,A,S,1,329,0.0424,N,34,2022
RBT,UCC,1/1/2022,2021,001_22,1,A,,2,300,0.1262,N,0,2022
CHN,UCC,1/1/2022,2021,001_22,1,A,S,193,300,0.1262,N,0,2022
CHN,LCC,1/1/2022,2021,001_22,1,A,S,6,495,0.0363,N,0,2022
CHN,UBC,1/1/2022,2021,001_22,1,A,S,1,329,0.0424,N,34,2022
CHN,UBC,1/1/2022,2021,001_22,1,A,S,1,329,0.0424,N,35,2022
CHN,LCC,1/1/2022,2021,001_22,1,A,F,1816,495,0.0363,N,0,2022
CHN,UBC,1/1/2022,2021,001_22,1,A,S,1,329,0.0424,Y,30,2022
CHN,UBC,1/1/2022,2021,001_22,1,A,S,1,329,0.0424,N,35,2022
CHN,UBC,1/1/2022,2021,001_22,1,A,S,1,329,0.0424,N,35,2022
CHN,UBC,1/1/2022,2021,001_22,1,A,S,1,329,0.0424,N,35,2022
CHN,UBC,1/1/2022,2021,001_22,1,A,S,1,329,0.0424,N,35,2022
CHN,UBC,1/1/2022,2021,001_22,1,A,S,1,329,0.0424,N,34,2022
CHN,UBC,1/1/2022,2021,001_22,1,A,S,1,329,0.0424,N,35,2022
CHN,UBC,1/1/2022,2021,001_22,1,A,S,1,329,0.0424,N,33,2022
CHN,UBC,1/1/2022,2021,001_22,1,A,S,1,329,0.0424,N,35,2022
CHN,UBC,1/1/2022,2021,001_22,1,A,S,1,329,0.0424,N,35,2022
CHN,UBC,1/1/2022,2021,001_22,1,A,S,1,329,0.0424,N,35,2022
CHN,UBC,1/1/2022,2021,001_22,1,A,S,1,329,0.0424,N,33,2022
CHN,UBC,1/1/2022,2021,001_22,1,A,S,1,329,0.0424,N,35,2022
CHN,UBC,1/1/2022,2021,001_22,1,A,S,1,329,0.0424,N,33,2022
CHN,UBC,1/1/2022,2021,001_22,1,A,S,1,329,0.0424,N,35,2022
CHN,UBC,1/1/2022,2021,001_22,1,A,S,1,329,0.0424,N,33,2022
CHN,UBC,1/1/2022,2021,001_22,1,A,S,1,329,0.0424,N,33,2022
CHN,UBC,1/1/2022,2021,001_22,1,A,S,1,329,0.0424,N,33,2022
CHN,UBC,1/1/2022,2021,001_22,1,A,S,1,329,0.0424,N,35,2022
CHN,UBC,1/1/2022,2021,001_22,1,A,S,1,329,0.0424,N,35,2022
CHN,UBC,1/1/2022,2021,001_22,1,A,S,1,329,0.0424,N,35,2022
CHN,UBC,1/1/2022,2021,001_22,1,A,S,1,329,0.0424,N,35,2022
CHN,UBC,1/1/2022,2021,001_22,1,A,S,1,329,0.0424,N,35,2022
CHN,LCC,1/2/2022,2021,002_22,1,A,F,1816,495,0.0363,N,0,2022
CHN,UBC,1/2/2022,2021,002_22,1,A,S,1,329,0.0424,N,33,2022
CHN,UBC,1/2/2022,2021,002_22,1,A,S,1,329,0.0424,N,33,2022
CHN,UBC,1/2/2022,2021,002_22,1,A,S,1,329,0.0424,N,34,2022
CHN,UBC,1/2/2022,2021,002_22,1,A,S,1,329,0.0424,N,34,2022
CHN,UBC,1/2/2022,2021,002_22,1,A,S,1,329,0.0424,N,34,2022
CHN,UBC,1/2/2022,2021,002_22,1,A,S,1,329,0.0424,N,34,2022
CHN,LCC,1/2/2022,2021,002_22,1,A,S,6,495,0.0363,N,0,2022
CHN,UBC,1/2/2022,2021,002_22,1,A,S,1,329,0.0424,N,34,2022
CHN,UBC,1/2/2022,2021,002_22,1,A,S,1,329,0.0424,N,33,2022
CHN,UBC,1/2/2022,2021,002_22,1,A,S,1,329,0.0424,Y,33,2022
CHN,UBC,1/2/2022,2021,002_22,1,A,S,1,329,0.0424,N,34,2022
CHN,UBC,1/2/2022,2021,002_22,1,A,S,1,329,0.0424,N,30,2022
CHN,UBC,1/2/2022,2021,002_22,1,A,S,1,329,0.0424,N,33,2022
CHN,UBC,1/2/2022,2021,002_22,1,A,S,1,329,0.0424,N,36,2022
CHN,UCC,1/2/2022,2021,002_22,1,A,S,193,300,0.1262,N,0,2022
CHN,UBC,1/2/2022,2021,002_22,1,A,S,1,329,0.0424,N,30,2022
CHN,UBC,1/2/2022,2021,002_22,1,A,S,1,329,0.0424,N,32,2022
CHN,UBC,1/2/2022,2021,002_22,1,A,S,1,329,0.0424,N,35,2022
CHN,UBC,1/2/2022,2021,002_22,1,A,S,1,329,0.0424,N,35,2022
CHN,UBC,1/2/2022,2021,002_22,1,A,S,1,329,0.0424,N,35,2022
CHN,UBC,1/2/2022,2021,002_22,1,A,S,1,329,0.0424,N,35,2022
CHN,UBC,1/2/2022,2021,002_22,1,A,S,1,329,0.0424,N,35,2022
CHN,UBC,1/2/2022,2021,002_22,1,A,S,1,329,0.0424,N,35,2022
RBT,UCC,1/2/2022,2021,002_22,1,A,,2,300,0.1262,N,0,2022
CHN,LCC,1/3/2022,2021,003_22,1,A,F,1,495,0.0363,N,37,2022
CHN,LCC,1/3/2022,2021,003_22,1,A,F,1,495,0.0363,N,37,2022
