StationCode,SampleDate,SampleID,Turbidity,NumReleased,BaileysEff,jdate
UBC,3/26/2022,085_22,2.21,329,0.0424,85
UBC,3/27/2022,086_22,,329,0.0424,86
UBC,3/28/2022,087_22,2.33,329,0.0424,87
UBC,3/29/2022,088_22,2.41,329,0.0424,88
UBC,3/30/2022,089_22,3.45,329,0.0424,89
UBC,3/31/2022,090_22,2.4,329,0.0424,90
UBC,4/1/2022,091_22,2.52,329,0.0424,91
UBC,4/2/2022,092_22,1.73,329,0.0424,92
UBC,4/3/2022,093_22,2.62,329,0.0424,93
UBC,4/4/2022,094_22,2.07,329,0.0424,94
UBC,4/5/2022,095_22,3.31,329,0.0424,95
UBC,4/6/2022,096_22,3.12,329,0.0424,96
UBC,4/7/2022,097_22,2.25,329,0.0424,97
UBC,4/8/2022,098_22,1.26,329,0.0424,98
