Date,Time,ºC,ºF
1/1/2022,0:00,7.116,44.8088
1/1/2022,0:30,7.066,44.7188
1/1/2022,1:00,7.015,44.627
1/1/2022,1:30,6.965,44.537
1/1/2022,2:00,6.914,44.4452
1/1/2022,2:30,6.839,44.3102
1/1/2022,3:00,6.763,44.1734
1/1/2022,3:30,6.687,44.0366
1/1/2022,4:00,6.611,43.8998
1/1/2022,4:30,6.509,43.7162
1/1/2022,5:00,6.433,43.5794
1/1/2022,5:30,6.331,43.3958
1/1/2022,6:00,6.255,43.259
1/1/2022,6:30,6.179,43.1222
1/1/2022,7:00,6.102,42.9836
1/1/2022,7:30,6.051,42.8918
1/1/2022,8:00,5.975,42.755
1/1/2022,8:30,5.924,42.6632
1/1/2022,9:00,5.898,42.6164
1/1/2022,9:30,5.872,42.5696
1/1/2022,10:00,5.872,42.5696
1/1/2022,10:30,5.898,42.6164
1/1/2022,11:00,5.949,42.7082
1/1/2022,11:30,6.051,42.8918
1/1/2022,12:00,6.128,43.0304
1/1/2022,12:30,6.204,43.1672
1/1/2022,13:00,6.306,43.3508
1/1/2022,13:30,6.382,43.4876
1/1/2022,14:00,6.458,43.6244
1/1/2022,14:30,6.509,43.7162
1/1/2022,15:00,6.56,43.808
1/1/2022,15:30,6.56,43.808
1/1/2022,16:00,6.56,43.808
1/1/2022,16:30,6.56,43.808
1/1/2022,17:00,6.509,43.7162
1/1/2022,17:30,6.458,43.6244
1/1/2022,18:00,6.408,43.5344
1/1/2022,18:30,6.357,43.4426
1/1/2022,19:00,6.331,43.3958
1/1/2022,19:30,6.306,43.3508
1/1/2022,20:00,6.281,43.3058
1/1/2022,20:30,6.255,43.259
1/1/2022,21:00,6.23,43.214
1/1/2022,21:30,6.204,43.1672
1/1/2022,22:00,6.204,43.1672
1/1/2022,22:30,6.179,43.1222
1/1/2022,23:00,6.153,43.0754
1/1/2022,23:30,6.128,43.0304
1/2/2022,0:00,6.128,43.0304
1/2/2022,0:30,6.102,42.9836
1/2/2022,1:00,6.102,42.9836
1/2/2022,1:30,6.077,42.9386
1/2/2022,2:00,6.102,42.9836
1/2/2022,2:30,6.077,42.9386
1/2/2022,3:00,6.051,42.8918
1/2/2022,3:30,6.026,42.8468
1/2/2022,4:00,6,42.8
1/2/2022,4:30,5.975,42.755
1/2/2022,5:00,5.949,42.7082
1/2/2022,5:30,5.924,42.6632
1/2/2022,6:00,5.898,42.6164
1/2/2022,6:30,5.847,42.5246
1/2/2022,7:00,5.796,42.4328
1/2/2022,7:30,5.77,42.386
1/2/2022,8:00,5.719,42.2942
1/2/2022,8:30,5.719,42.2942
1/2/2022,9:00,5.719,42.2942
1/2/2022,9:30,5.77,42.386
1/2/2022,10:00,5.821,42.4778
1/2/2022,10:30,5.898,42.6164
1/2/2022,11:00,6,42.8
1/2/2022,11:30,6.077,42.9386
1/2/2022,12:00,6.128,43.0304
1/2/2022,12:30,6.23,43.214
1/2/2022,13:00,6.306,43.3508
1/2/2022,13:30,6.408,43.5344
1/2/2022,14:00,6.484,43.6712
1/2/2022,14:30,6.509,43.7162
1/2/2022,15:00,6.56,43.808
1/2/2022,15:30,6.611,43.8998
1/2/2022,16:00,6.611,43.8998
1/2/2022,16:30,6.636,43.9448
1/2/2022,17:00,6.611,43.8998
1/2/2022,17:30,6.611,43.8998
1/2/2022,18:00,6.585,43.853
1/2/2022,18:30,6.56,43.808
1/2/2022,19:00,6.56,43.808
1/2/2022,19:30,6.56,43.808
1/2/2022,20:00,6.535,43.763
1/2/2022,20:30,6.56,43.808
1/2/2022,21:00,6.585,43.853
1/2/2022,21:30,6.611,43.8998
1/2/2022,22:00,6.661,43.9898
1/2/2022,22:30,6.687,44.0366
1/2/2022,23:00,6.712,44.0816
1/2/2022,23:30,6.763,44.1734
1/3/2022,0:00,6.788,44.2184
1/3/2022,0:30,6.813,44.2634
1/3/2022,1:00,6.813,44.2634
1/3/2022,1:30,6.839,44.3102
1/3/2022,2:00,6.864,44.3552
1/3/2022,2:30,6.864,44.3552
1/3/2022,3:00,6.839,44.3102
1/3/2022,3:30,6.813,44.2634
1/3/2022,4:00,6.788,44.2184
1/3/2022,4:30,6.763,44.1734
1/3/2022,5:00,6.788,44.2184
1/3/2022,5:30,6.788,44.2184
1/3/2022,6:00,6.813,44.2634
1/3/2022,6:30,6.813,44.2634
1/3/2022,7:00,6.839,44.3102
1/3/2022,7:30,6.864,44.3552
1/3/2022,8:00,6.914,44.4452
1/3/2022,8:30,6.965,44.537
1/3/2022,9:00,7.015,44.627
1/3/2022,9:30,7.066,44.7188
1/3/2022,10:00,7.116,44.8088
1/3/2022,10:30,7.167,44.9006
1/3/2022,11:00,7.217,44.9906
1/3/2022,11:30,7.318,45.1724
1/3/2022,12:00,7.419,45.3542
1/3/2022,12:30,7.469,45.4442
1/3/2022,13:00,7.544,45.5792
1/3/2022,13:30,7.619,45.7142
1/3/2022,14:00,7.695,45.851
1/3/2022,14:30,7.795,46.031
1/3/2022,15:00,7.895,46.211
1/3/2022,15:30,7.945,46.301
1/3/2022,16:00,7.995,46.391
1/3/2022,16:30,8.045,46.481
1/3/2022,17:00,8.12,46.616
1/3/2022,17:30,8.17,46.706
1/3/2022,18:00,8.245,46.841
1/3/2022,18:30,8.319,46.9742
1/3/2022,19:00,8.394,47.1092
1/3/2022,19:30,8.444,47.1992
1/3/2022,20:00,8.519,47.3342
1/3/2022,20:30,8.568,47.4224
1/3/2022,21:00,8.618,47.5124
1/3/2022,21:30,8.668,47.6024
1/3/2022,22:00,8.717,47.6906
1/3/2022,22:30,8.767,47.7806
1/3/2022,23:00,8.817,47.8706
1/3/2022,23:30,8.866,47.9588
1/4/2022,0:00,8.916,48.0488
1/4/2022,0:30,8.965,48.137
1/4/2022,1:00,8.99,48.182
1/4/2022,1:30,9.015,48.227
1/4/2022,2:00,9.015,48.227
1/4/2022,2:30,9.015,48.227
1/4/2022,3:00,9.064,48.3152
1/4/2022,3:30,9.064,48.3152
1/4/2022,4:00,9.114,48.4052
1/4/2022,4:30,9.114,48.4052
1/4/2022,5:00,9.114,48.4052
1/4/2022,5:30,9.139,48.4502
1/4/2022,6:00,9.163,48.4934
1/4/2022,6:30,9.188,48.5384
1/4/2022,7:00,9.213,48.5834
1/4/2022,7:30,9.238,48.6284
1/4/2022,8:00,9.287,48.7166
1/4/2022,8:30,9.312,48.7616
1/4/2022,9:00,9.336,48.8048
1/4/2022,9:30,9.361,48.8498
1/4/2022,10:00,9.41,48.938
1/4/2022,10:30,9.46,49.028
1/4/2022,11:00,9.509,49.1162
1/4/2022,11:30,9.558,49.2044
1/4/2022,12:00,9.632,49.3376
1/4/2022,12:30,9.682,49.4276
1/4/2022,13:00,9.706,49.4708
1/4/2022,13:30,9.731,49.5158
1/4/2022,14:00,9.756,49.5608
1/4/2022,14:30,9.78,49.604
1/4/2022,15:00,9.805,49.649
1/4/2022,15:30,9.805,49.649
1/4/2022,16:00,9.805,49.649
1/4/2022,16:30,9.805,49.649
1/4/2022,17:00,9.805,49.649
1/4/2022,17:30,9.829,49.6922
1/4/2022,18:00,9.829,49.6922
1/4/2022,18:30,9.805,49.649
1/4/2022,19:00,9.805,49.649
1/4/2022,19:30,9.805,49.649
1/4/2022,20:00,9.805,49.649
1/4/2022,20:30,9.805,49.649
1/4/2022,21:00,9.805,49.649
1/4/2022,21:30,9.805,49.649
1/4/2022,22:00,9.805,49.649
1/4/2022,22:30,9.78,49.604
1/4/2022,23:00,9.78,49.604
1/4/2022,23:30,9.756,49.5608
1/5/2022,0:00,9.756,49.5608
1/5/2022,0:30,9.731,49.5158
1/5/2022,1:00,9.706,49.4708
1/5/2022,1:30,9.706,49.4708
1/5/2022,2:00,9.682,49.4276
1/5/2022,2:30,9.657,49.3826
1/5/2022,3:00,9.608,49.2944
1/5/2022,3:30,9.608,49.2944
1/5/2022,4:00,9.583,49.2494
1/5/2022,4:30,9.583,49.2494
1/5/2022,5:00,9.558,49.2044
1/5/2022,5:30,9.534,49.1612
1/5/2022,6:00,9.534,49.1612
1/5/2022,6:30,9.509,49.1162
1/5/2022,7:00,9.485,49.073
1/5/2022,7:30,9.485,49.073
1/5/2022,8:00,9.485,49.073
1/5/2022,8:30,9.46,49.028
1/5/2022,9:00,9.46,49.028
1/5/2022,9:30,9.485,49.073
1/5/2022,10:00,9.509,49.1162
1/5/2022,10:30,9.534,49.1612
1/5/2022,11:00,9.534,49.1612
1/5/2022,11:30,9.583,49.2494
1/5/2022,12:00,9.657,49.3826
1/5/2022,12:30,9.731,49.5158
1/5/2022,13:00,9.756,49.5608
1/5/2022,13:30,9.805,49.649
1/5/2022,14:00,9.829,49.6922
1/5/2022,14:30,9.879,49.7822
1/5/2022,15:00,9.977,49.9586
1/5/2022,15:30,10.001,50.0018
1/5/2022,16:00,10.001,50.0018
1/5/2022,16:30,10.026,50.0468
1/5/2022,17:00,10.051,50.0918
1/5/2022,17:30,10.051,50.0918
1/5/2022,18:00,10.026,50.0468
1/5/2022,18:30,10.001,50.0018
1/5/2022,19:00,10.001,50.0018
1/5/2022,19:30,10.001,50.0018
1/5/2022,20:00,9.977,49.9586
1/5/2022,20:30,9.952,49.9136
1/5/2022,21:00,9.952,49.9136
1/5/2022,21:30,9.928,49.8704
1/5/2022,22:00,9.903,49.8254
1/5/2022,22:30,9.903,49.8254
1/5/2022,23:00,9.879,49.7822
1/5/2022,23:30,9.879,49.7822
1/6/2022,0:00,9.879,49.7822
1/6/2022,0:30,9.854,49.7372
1/6/2022,1:00,9.829,49.6922
1/6/2022,1:30,9.805,49.649
1/6/2022,2:00,9.805,49.649
1/6/2022,2:30,9.78,49.604
1/6/2022,3:00,9.731,49.5158
1/6/2022,3:30,9.731,49.5158
1/6/2022,4:00,9.682,49.4276
1/6/2022,4:30,9.657,49.3826
1/6/2022,5:00,9.632,49.3376
1/6/2022,5:30,9.608,49.2944
1/6/2022,6:00,9.608,49.2944
1/6/2022,6:30,9.583,49.2494
1/6/2022,7:00,9.534,49.1612
1/6/2022,7:30,9.509,49.1162
1/6/2022,8:00,9.485,49.073
1/6/2022,8:30,9.46,49.028
1/6/2022,9:00,9.46,49.028
1/6/2022,9:30,9.46,49.028
1/6/2022,10:00,9.509,49.1162
1/6/2022,10:30,9.558,49.2044
1/6/2022,11:00,9.632,49.3376
1/6/2022,11:30,9.657,49.3826
1/6/2022,12:00,9.706,49.4708
1/6/2022,12:30,9.731,49.5158
1/6/2022,13:00,9.756,49.5608
1/6/2022,13:30,9.78,49.604
1/6/2022,14:00,9.805,49.649
1/6/2022,14:30,9.805,49.649
1/6/2022,15:00,9.829,49.6922
1/6/2022,15:30,9.829,49.6922
1/6/2022,16:00,9.829,49.6922
1/6/2022,16:30,9.829,49.6922
1/6/2022,17:00,9.829,49.6922
