site,release_id,date_recaptured,number_recaptured,median_fork_length_recaptured
Upper Battle Creek,BAT96,2004-01-15,15,36
Upper Battle Creek,BAT96,2004-01-16,0,NA
Upper Battle Creek,BAT96,2004-01-17,0,NA
Upper Battle Creek,BAT96,2004-01-18,0,NA
Upper Battle Creek,BAT96,2004-01-19,0,NA
Upper Battle Creek,BAT97,2004-01-28,35,36
Upper Battle Creek,BAT97,2004-01-29,0,NA
Upper Battle Creek,BAT97,2004-01-30,0,NA
Upper Battle Creek,BAT97,2004-01-31,0,NA
Upper Battle Creek,BAT97,2004-02-01,0,NA
Upper Battle Creek,BAT98,2004-01-31,52,38
Upper Battle Creek,BAT98,2004-02-01,1,38
Upper Battle Creek,BAT98,2004-02-02,0,NA
Upper Battle Creek,BAT98,2004-02-03,NA,NA
Upper Battle Creek,BAT98,2004-02-04,0,NA
Upper Battle Creek,BAT99,2004-02-07,19,38
Upper Battle Creek,BAT99,2004-02-08,2,38
Upper Battle Creek,BAT99,2004-02-09,0,NA
Upper Battle Creek,BAT99,2004-02-10,0,NA
Upper Battle Creek,BAT99,2004-02-11,0,NA
Upper Battle Creek,BAT100,2004-02-11,39,38
Upper Battle Creek,BAT100,2004-02-12,0,NA
Upper Battle Creek,BAT100,2004-02-13,2,38
Upper Battle Creek,BAT100,2004-02-14,0,NA
Upper Battle Creek,BAT100,2004-02-15,0,NA
Upper Battle Creek,BAT101,2004-02-14,45,37
Upper Battle Creek,BAT101,2004-02-15,0,NA
Upper Battle Creek,BAT101,2004-02-16,0,NA
Upper Battle Creek,BAT101,2004-02-17,NA,NA
Upper Battle Creek,BAT101,2004-02-18,NA,NA
Upper Battle Creek,BAT102,2004-02-25,18,38
Upper Battle Creek,BAT102,2004-02-26,NA,NA
Upper Battle Creek,BAT102,2004-02-27,NA,NA
Upper Battle Creek,BAT102,2004-02-28,0,NA
Upper Battle Creek,BAT102,2004-02-29,1,38
Upper Battle Creek,BAT103,2004-03-06,25,37
Upper Battle Creek,BAT103,2004-03-07,2,37
Upper Battle Creek,BAT103,2004-03-08,0,NA
Upper Battle Creek,BAT103,2004-03-09,0,NA
Upper Battle Creek,BAT103,2004-03-10,0,NA
Upper Battle Creek,BAT104,2004-03-10,27,36
Upper Battle Creek,BAT104,2004-03-11,0,NA
Upper Battle Creek,BAT104,2004-03-12,0,NA
Upper Battle Creek,BAT104,2004-03-13,0,NA
Upper Battle Creek,BAT104,2004-03-14,0,NA
Upper Battle Creek,BAT105,2004-03-13,45,37
Upper Battle Creek,BAT105,2004-03-14,0,NA
Upper Battle Creek,BAT105,2004-03-15,0,NA
Upper Battle Creek,BAT105,2004-03-16,0,NA
Upper Battle Creek,BAT105,2004-03-17,0,NA
Upper Battle Creek,BAT106,2004-03-27,24,37
Upper Battle Creek,BAT106,2004-03-28,2,37
Upper Battle Creek,BAT106,2004-03-29,0,NA
Upper Battle Creek,BAT106,2004-03-30,0,NA
Upper Battle Creek,BAT106,2004-03-31,0,NA
Upper Battle Creek,BAT107,2004-04-03,6,52
Upper Battle Creek,BAT107,2004-04-04,0,NA
Upper Battle Creek,BAT107,2004-04-05,0,NA
Upper Battle Creek,BAT107,2004-04-06,0,NA
Upper Battle Creek,BAT107,2004-04-07,0,NA
Upper Battle Creek,BAT108,2004-04-10,2,68
Upper Battle Creek,BAT108,2004-04-11,0,NA
Upper Battle Creek,BAT108,2004-04-12,0,NA
Upper Battle Creek,BAT108,2004-04-13,0,NA
Upper Battle Creek,BAT108,2004-04-14,0,NA
