"fork_length","dead","weight","count","r_catch","interp","age_class","brood_year","subsample","common_name","life_stage","station_code","sample_date","sample_id","run","fws_run"
172,FALSE,5.5100002,1,NA,FALSE,NA,NA,"not provided","Rainbow Trout","parr","UBC",2022-11-17,"321_22","not provided",NA
66,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Hardhead","not provided","UBC",2022-10-20,"293_22","not provided",NA
83,FALSE,6.0999999,1,NA,FALSE,NA,NA,"not provided","Rainbow Trout","parr","UBC",2022-10-21,"294_22","not provided",NA
156,FALSE,47.599998,1,NA,FALSE,NA,NA,"not provided","Rainbow Trout","silvery parr","UBC",2022-10-30,"303_22","not provided",NA
48,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Hardhead","not provided","UBC",2022-10-13,"286_22","not provided",NA
53,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Hardhead","not provided","UBC",2022-10-19,"292_22","not provided",NA
28,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Sucker","not provided","UBC",2022-10-22,"295_22","not provided",NA
97,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Hardhead","not provided","UBC",2022-11-15,"319_22","not provided",NA
32,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","UCC",2022-11-20,"324_22","Spring",NA
32,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","LCC",2022-11-19,"323_22","Spring",NA
32,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","LCC",2022-11-17,"321_21","Spring",NA
51,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Pikeminnow","not provided","UBC",2022-11-08,"312_22","not provided",NA
33,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","LCC",2022-11-19,"323_22","Spring",NA
31,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","UBC",2022-10-01,"274_22","Winter",NA
34,TRUE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","UCC",2022-11-19,"323_22","Spring",NA
33,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","LCC",2022-11-18,"322_22","Spring",NA
112,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Sucker","not provided","UBC",2022-10-26,"299_22","not provided",NA
115,FALSE,20.1,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","smolt","UBC",2022-10-30,"303_22","Late-Fall",NA
135,FALSE,27.9,1,NA,FALSE,NA,NA,"not provided","Rainbow Trout","parr","LCC",2022-11-19,"323_22","not provided",NA
52,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Pikeminnow","not provided","UBC",2022-11-08,"312_22","not provided",NA
45,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Speckled Dace","not provided","LCC",2022-11-19,"323_22","not provided",NA
147,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Sucker","not provided","UBC",2022-11-07,"311_22","not provided",NA
178,FALSE,70.199997,1,NA,FALSE,NA,NA,"not provided","Rainbow Trout","silvery parr","UBC",2022-11-13,"317_22","not provided",NA
95,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Pikeminnow","not provided","UBC",2022-11-04,"308_22","not provided",NA
95,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","smolt","LCC",2022-11-19,"323_22","Late-Fall",NA
30,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","yolk sac fry","UCC",2022-11-18,"322_22","Spring",NA
34,FALSE,0,2,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","LCC",2022-11-17,"321_21","Spring",NA
120,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Sucker","not provided","UBC",2022-10-15,"288_22","not provided",NA
55,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Hardhead","not provided","UBC",2022-10-26,"299_22","not provided",NA
45,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Sucker","not provided","UBC",2022-10-10,"283_22","not provided",NA
119,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Hardhead","not provided","UBC",2022-10-31,"304_22","not provided",NA
34,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","LCC",2022-11-20,"324_22","Spring",NA
87,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Pikeminnow","not provided","UBC",2022-11-02,"306_22","not provided",NA
62,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Unidentified ammocoete","not provided","LCC",2022-11-16,"320_22","not provided",NA
57,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Hardhead","not provided","UBC",2022-11-01,"305_22","not provided",NA
58,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Sucker","not provided","UBC",2022-10-22,"295_22","not provided",NA
0,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Tule Perch","not provided","UBC",2022-11-04,"308_22","not provided",NA
110,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Sucker","not provided","LCC",2022-11-19,"323_22","not provided",NA
34,FALSE,0,7,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","UCC",2022-11-18,"322_22","Spring",NA
111,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Pacific Lamprey macropthalmia","not provided","UBC",2022-11-02,"306_22","not provided",NA
32,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","LCC",2022-11-19,"323_22","Spring",NA
61,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Hardhead","not provided","UBC",2022-10-09,"282_22","not provided",NA
31,FALSE,0,8,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","UCC",2022-11-18,"322_22","Spring",NA
31,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","UCC",2022-11-17,"321_22","Spring",NA
31,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","UCC",2022-11-17,"321_22","Spring",NA
69,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Hardhead","not provided","UBC",2022-10-14,"287_22","not provided",NA
32,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","LCC",2022-11-20,"324_22","Spring",NA
128,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Sucker","not provided","UBC",2022-11-14,"318_22","not provided",NA
42,TRUE,0,1,NA,FALSE,NA,NA,"not provided","Threespine Stickleback","not provided","UBC",2022-10-08,"281_22","not provided",NA
35,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","UCC",2022-11-20,"324_22","Spring",NA
100,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Pacific Lamprey ammocoete","not provided","UBC",2022-10-21,"294_22","not provided",NA
50,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Hardhead","not provided","UBC",2022-10-16,"289_22","not provided",NA
42,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Pikeminnow","not provided","LCC",2022-11-17,"321_21","not provided",NA
33,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","yolk sac fry","UCC",2022-11-20,"324_22","Spring",NA
33,TRUE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","LCC",2022-11-19,"323_22","Spring",NA
105,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Pacific Lamprey macropthalmia","not provided","UBC",2022-10-14,"287_22","not provided",NA
137,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Pikeminnow","not provided","UBC",2022-11-10,"314_22","not provided",NA
31,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","UCC",2022-11-19,"323_22","Spring",NA
162,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Hardhead","not provided","UBC",2022-11-10,"314_22","not provided",NA
25,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Unidentified Cyprinid fry","not provided","UCC",2022-11-17,"321_22","not provided",NA
82,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Tule Perch","not provided","UBC",2022-10-18,"291_22","not provided",NA
46,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Hardhead","not provided","UBC",2022-10-27,"300_22","not provided",NA
32,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","LCC",2022-11-18,"322_22","Spring",NA
33,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","UCC",2022-11-20,"324_22","Spring",NA
34,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","UCC",2022-11-18,"322_22","Spring",NA
33,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","yolk sac fry","UCC",2022-11-17,"321_22","Spring",NA
35,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","LCC",2022-11-20,"324_22","Spring",NA
77,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Pikeminnow","not provided","LCC",2022-11-17,"321_21","not provided",NA
