sample_row_id,fork_length,dead,weight,count,fws_race,r_catch,interp,age_class,brood_year,subsample,common_name,life_stage,race,date
NA,172,FALSE,5.5100002,1,NA,NA,FALSE,NA,NA,not provided,Rainbow Trout,parr,not provided,2022-11-17
NA,66,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Hardhead,not provided,not provided,2022-10-20
NA,83,FALSE,6.0999999,1,NA,NA,FALSE,NA,NA,not provided,Rainbow Trout,parr,not provided,2022-10-21
NA,156,FALSE,47.599998,1,NA,NA,FALSE,NA,NA,not provided,Rainbow Trout,silvery parr,not provided,2022-10-30
NA,48,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Hardhead,not provided,not provided,2022-10-13
NA,53,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Hardhead,not provided,not provided,2022-10-19
NA,28,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Sacramento Sucker,not provided,not provided,2022-10-22
NA,97,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Hardhead,not provided,not provided,2022-11-15
NA,32,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Chinook Salmon,obvious fry,Spring,2022-11-20
NA,32,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Chinook Salmon,obvious fry,Spring,2022-11-19
NA,32,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Chinook Salmon,obvious fry,Spring,2022-11-17
NA,51,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Sacramento Pikeminnow,not provided,not provided,2022-11-08
NA,33,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Chinook Salmon,obvious fry,Spring,2022-11-19
NA,31,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Chinook Salmon,obvious fry,Winter,2022-10-01
NA,34,TRUE,0,1,NA,NA,FALSE,NA,NA,not provided,Chinook Salmon,obvious fry,Spring,2022-11-19
NA,33,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Chinook Salmon,obvious fry,Spring,2022-11-18
NA,112,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Sacramento Sucker,not provided,not provided,2022-10-26
NA,115,FALSE,20.1,1,NA,NA,FALSE,NA,NA,not provided,Chinook Salmon,smolt,Late-Fall,2022-10-30
NA,135,FALSE,27.9,1,NA,NA,FALSE,NA,NA,not provided,Rainbow Trout,parr,not provided,2022-11-19
NA,52,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Sacramento Pikeminnow,not provided,not provided,2022-11-08
NA,45,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Speckled Dace,not provided,not provided,2022-11-19
NA,147,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Sacramento Sucker,not provided,not provided,2022-11-07
NA,178,FALSE,70.199997,1,NA,NA,FALSE,NA,NA,not provided,Rainbow Trout,silvery parr,not provided,2022-11-13
NA,95,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Sacramento Pikeminnow,not provided,not provided,2022-11-04
NA,95,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Chinook Salmon,smolt,Late-Fall,2022-11-19
NA,30,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Chinook Salmon,yolk sac fry,Spring,2022-11-21
NA,34,FALSE,0,2,NA,NA,FALSE,NA,NA,not provided,Chinook Salmon,obvious fry,Spring,2022-11-17
NA,120,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Sacramento Sucker,not provided,not provided,2022-10-15
NA,55,FALSE,0,1,NA,NA,FALSE,NA,NA,not provided,Hardhead,not provided,not provided,2022-10-26
