fork_length,dead,weight,count,fws_run,r_catch,interp,age_class,brood_year,subsample,common_name,life_stage,station_code,sample_date,sample_id,run
172,FALSE,5.5100002,1,,1,FALSE,NA,2022,not provided,Rainbow Trout,parr,UBC,2022-11-17,321_22,not provided
66,FALSE,0,1,,1,FALSE,NA,NA,not provided,Hardhead,not provided,UBC,2022-10-20,293_22,not provided
83,FALSE,6.0999999,1,,1,FALSE,NA,2022,not provided,Rainbow Trout,parr,UBC,2022-10-21,294_22,not provided
156,FALSE,47.599998,1,,1,FALSE,NA,2022,not provided,Rainbow Trout,silvery parr,UBC,2022-10-30,303_22,not provided
48,FALSE,0,1,,1,FALSE,NA,NA,not provided,Hardhead,not provided,UBC,2022-10-13,286_22,not provided
53,FALSE,0,1,,1,FALSE,NA,NA,not provided,Hardhead,not provided,UBC,2022-10-19,292_22,not provided
28,FALSE,0,1,,1,FALSE,NA,NA,not provided,Sacramento Sucker,not provided,UBC,2022-10-22,295_22,not provided
97,FALSE,0,1,,1,FALSE,NA,NA,not provided,Hardhead,not provided,UBC,2022-11-15,319_22,not provided
32,FALSE,0,1,S,1,FALSE,NA,2022,not provided,Chinook Salmon,obvious fry,UCC,2022-11-20,324_22,Spring
32,FALSE,0,1,S,1,FALSE,NA,2022,not provided,Chinook Salmon,obvious fry,LCC,2022-11-19,323_22,Spring
32,FALSE,0,1,S,1,FALSE,NA,2022,not provided,Chinook Salmon,obvious fry,LCC,2022-11-17,321_22,Spring
51,FALSE,0,1,,1,FALSE,NA,NA,not provided,Sacramento Pikeminnow,not provided,UBC,2022-11-08,312_22,not provided
33,FALSE,0,1,S,1,FALSE,NA,2022,not provided,Chinook Salmon,obvious fry,LCC,2022-11-19,323_22,Spring
34,FALSE,0,1,S,1,FALSE,NA,2022,not provided,Chinook Salmon,obvious fry,UCC,2022-11-19,323_22,Spring
33,FALSE,0,1,S,1,FALSE,NA,2022,not provided,Chinook Salmon,obvious fry,LCC,2022-11-18,322_22,Spring
112,FALSE,0,1,,1,FALSE,NA,NA,not provided,Sacramento Sucker,not provided,UBC,2022-10-26,299_22,not provided
115,FALSE,20.1,1,L,1,FALSE,NA,2022,not provided,Chinook Salmon,smolt,UBC,2022-10-30,303_22,Late-Fall
135,FALSE,27.9,1,,1,FALSE,NA,2022,not provided,Rainbow Trout,parr,LCC,2022-11-19,323_22,not provided
52,FALSE,0,1,,1,FALSE,NA,NA,not provided,Sacramento Pikeminnow,not provided,UBC,2022-11-08,312_22,not provided
45,FALSE,0,1,,1,FALSE,NA,NA,not provided,Speckled Dace,not provided,LCC,2022-11-19,323_22,not provided
147,FALSE,0,1,,1,FALSE,NA,NA,not provided,Sacramento Sucker,not provided,UBC,2022-11-07,311_22,not provided
178,FALSE,70.199997,1,,1,FALSE,NA,2022,not provided,Rainbow Trout,silvery parr,UBC,2022-11-13,317_22,not provided
95,FALSE,0,1,,1,FALSE,NA,NA,not provided,Sacramento Pikeminnow,not provided,UBC,2022-11-04,308_22,not provided
95,FALSE,0,1,L,1,FALSE,NA,2022,not provided,Chinook Salmon,smolt,LCC,2022-11-19,323_22,Late-Fall
30,FALSE,0,1,S,1,FALSE,NA,2022,not provided,Chinook Salmon,yolk sac fry,UCC,2022-11-18,322_22,Spring
34,FALSE,0,2,S,2,FALSE,NA,2022,not provided,Chinook Salmon,obvious fry,LCC,2022-11-17,321_22,Spring
120,FALSE,0,1,,1,FALSE,NA,NA,not provided,Sacramento Sucker,not provided,UBC,2022-10-15,288_22,not provided
