"station_code","sample_date","sample_time","sample_id","depth_adjust","avg_time_per_rev","flow_start_meter","flow_end_meter","flow_set_time","river_left_depth","river_center_depth","river_right_depth","thalweg","cone","start_counter","counter","debris_tubs","velocity","turbidity","trap_fishing","partial_sample","sub_week","trap_start_date","trap_start_time","weather","habitat","trap_sample_type","diel","debris_type","gear_condition","baileys_efficiency"
"UBC","2020-12-12","13:08:30","347_20",28,35,615000,622958,300,3.5999999,3.4000001,3.2,TRUE,1,0,6908,2.5,2.32108333333333,2.3299999,TRUE,FALSE,"A","2020-12-11","14:51:35","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UCC","2020-12-13","07:28:04","348_20",29,19,393000,410053,404,3.5,3.8,3.9000001,TRUE,0.5,0,12058,1.5,3.69340965346535,1.27,TRUE,FALSE,"A","2020-12-12","07:53:57","precipitation","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"LCC","2020-12-13","09:30:52","348_20",27,36,410000,424066,540,3.5999999,3.7,3.5999999,TRUE,0.5,0,6624,0.5,2.27921296296296,1.4400001,TRUE,FALSE,"A","2020-12-12","10:46:10","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UBC","2020-12-13","12:59:03","348_20",28,32,623000,631324,303,3.5999999,3.5,3,TRUE,1,0,7410,2.5999999,2.40379537953795,1.67,TRUE,FALSE,"A","2020-12-12","13:08:30","precipitation","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UCC","2020-12-14","12:01:49","349_20",29,20,424000,456552,851,3.5,3.8,3.8,TRUE,0.5,0,15608,2.5,3.3470035252644,1.17,TRUE,FALSE,"A","2020-12-13","07:28:04","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"LCC","2020-12-14","15:54:31","349_20",27,36,456000,470589,571,3.2,3.5999999,3.5999999,TRUE,0.5,0,4642,1,2.2356173380035,1.47,TRUE,FALSE,"A","2020-12-13","09:30:52","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UBC","2020-12-14","12:49:00","349_20",28,47,631000,658543,1020,3.5999999,3.5,3.2,TRUE,1,0,7131,4.8000002,2.36275735294118,2.95,TRUE,FALSE,"A","2020-12-13","12:59:00","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UCC","2020-12-15","07:31:24","350_20",29,20,470000,484113,336,3.5999999,3.8,3.8,TRUE,0.5,0,3900,1.2,3.67526041666667,2.28,TRUE,FALSE,"A","2020-12-14","12:01:49","sunny","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"LCC","2020-12-15","09:44:48","350_20",28,36,484000,509356,979,3.2,3.5999999,3.5999999,TRUE,0.5,0,1665,0.40000001,2.26624106230848,2.1700001,TRUE,FALSE,"A","2020-12-14","15:54:31","precipitation","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
"UCC","2020-12-16","07:35:28","351_20",28,21,509000,527621,480,3.4000001,3.5,3.8,TRUE,0.5,0,105,1.5,3.394453125,1.3200001,TRUE,FALSE,"A","2020-12-15","07:31:24","partly cloudy","run","non-intensive","day","Aquatic Vegetation, Leaves, and Sticks","Trap is fishing normal",NA
